workplace_measure,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
Social distancing,2.0,10.0,6,14,0.15
Social distancing,2.0,10.0,6,21,0.13
Social distancing,2.0,20.0,2,1,
Social distancing,2.0,20.0,2,3,
Social distancing,2.0,20.0,2,7,
Social distancing,2.0,20.0,2,14,
Social distancing,2.0,20.0,2,21,
Social distancing,2.0,20.0,4,1,0.1
Social distancing,2.0,20.0,4,3,0.13
Social distancing,2.0,20.0,4,7,0.16
Social distancing,2.0,20.0,4,14,0.25
Social distancing,2.0,20.0,4,21,0.25
Social distancing,2.0,20.0,6,1,0.04
Social distancing,2.0,20.0,6,3,0.07
Social distancing,2.0,20.0,6,7,0.1
Social distancing,2.0,20.0,6,14,0.17
Social distancing,2.0,20.0,6,21,0.17
Social distancing,2.0,30.0,2,1,
Social distancing,2.0,30.0,2,3,
Social distancing,2.0,30.0,2,7,
Social distancing,2.0,30.0,2,14,
Social distancing,2.0,30.0,2,21,
Social distancing,2.0,30.0,4,1,0.14
Social distancing,2.0,30.0,4,3,0.25
Social distancing,2.0,30.0,4,7,0.2
Social distancing,2.0,30.0,4,14,0.25
Social distancing,2.0,30.0,4,21,0.25
Social distancing,2.0,30.0,6,1,0.05
Social distancing,2.0,30.0,6,3,0.11
Social distancing,2.0,30.0,6,7,0.14
Social distancing,2.0,30.0,6,14,0.17
Social distancing,2.0,30.0,6,21,0.17
Social distancing,3.0,5.0,2,1,
Social distancing,3.0,5.0,2,3,
Social distancing,3.0,5.0,2,7,
Social distancing,3.0,5.0,2,14,
Social distancing,3.0,5.0,2,21,
Social distancing,3.0,5.0,4,1,0.1
Social distancing,3.0,5.0,4,3,0.1
Social distancing,3.0,5.0,4,7,0.1
Social distancing,3.0,5.0,4,14,0.15
Social distancing,3.0,5.0,4,21,0.15
Social distancing,3.0,5.0,6,1,0.03
Social distancing,3.0,5.0,6,3,0.07
