strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
6,14,10,1,14,0.17
6,14,20,1,14,0.17
6,14,30,1,14,0.17
6,21,5,1,14,0.17
6,21,10,1,14,0.17
6,21,20,1,14,0.17
6,21,30,1,14,0.17
2,1,5,1,15,0.50
2,1,10,1,15,0.75
2,1,20,1,15,0.96
2,1,30,1,15,1.00
2,3,5,1,15,0.50
2,3,10,1,15,0.75
2,3,20,1,15,0.93
2,3,30,1,15,0.95
2,7,5,1,15,0.60
2,7,10,1,15,0.75
2,7,20,1,15,0.82
2,7,30,1,15,0.85
2,14,5,1,15,0.50
2,14,10,1,15,0.55
2,14,20,1,15,0.62
2,14,30,1,15,0.65
2,21,5,1,15,0.50
2,21,10,1,15,0.50
2,21,20,1,15,0.50
2,21,30,1,15,0.50
4,1,5,1,15,0.10
4,1,10,1,15,0.17
4,1,20,1,15,0.42
4,1,30,1,15,0.65
4,3,5,1,15,0.15
4,3,10,1,15,0.30
4,3,20,1,15,0.61
4,3,30,1,15,0.70
4,7,5,1,15,0.25
4,7,10,1,15,0.38
4,7,20,1,15,0.49
4,7,30,1,15,0.52
4,14,5,1,15,0.25
4,14,10,1,15,0.28
4,14,20,1,15,0.30
4,14,30,1,15,0.32
4,21,5,1,15,0.25
4,21,10,1,15,0.25
4,21,20,1,15,0.25
4,21,30,1,15,0.25
6,1,5,1,15,0.05
6,1,10,1,15,0.07
6,1,20,1,15,0.12
6,1,30,1,15,0.30
6,3,5,1,15,0.10
6,3,10,1,15,0.15
6,3,20,1,15,0.39
6,3,30,1,15,0.51
6,7,5,1,15,0.13
6,7,10,1,15,0.25
6,7,20,1,15,0.33
6,7,30,1,15,0.35
6,14,5,1,15,0.17
6,14,10,1,15,0.18
6,14,20,1,15,0.19
6,14,30,1,15,0.20
6,21,5,1,15,0.17
6,21,10,1,15,0.17
6,21,20,1,15,0.17
6,21,30,1,15,0.17
2,1,5,1,16,0.50
2,1,10,1,16,0.80
2,1,20,1,16,0.97
2,1,30,1,16,1.00
2,3,5,1,16,0.50
2,3,10,1,16,0.80
2,3,20,1,16,0.95
2,3,30,1,16,0.97
2,7,5,1,16,0.60
2,7,10,1,16,0.80
2,7,20,1,16,0.85
2,7,30,1,16,0.87
2,14,5,1,16,0.50
2,14,10,1,16,0.65
2,14,20,1,16,0.70
2,14,30,1,16,0.73
2,21,5,1,16,0.50
2,21,10,1,16,0.50
2,21,20,1,16,0.50
2,21,30,1,16,0.50
4,1,5,1,16,0.10
4,1,10,1,16,0.20
4,1,20,1,16,0.48
4,1,30,1,16,0.71
4,3,5,1,16,0.15
4,3,10,1,16,0.33
4,3,20,1,16,0.66
4,3,30,1,16,0.76
4,7,5,1,16,0.25
4,7,10,1,16,0.40
4,7,20,1,16,0.54
4,7,30,1,16,0.57
4,14,5,1,16,0.25
4,14,10,1,16,0.30
4,14,20,1,16,0.35
4,14,30,1,16,0.39
4,21,5,1,16,0.25
4,21,10,1,16,0.25
4,21,20,1,16,0.25
4,21,30,1,16,0.25
6,1,5,1,16,0.07
6,1,10,1,16,0.07
6,1,20,1,16,0.15
6,1,30,1,16,0.36
6,3,5,1,16,0.10
6,3,10,1,16,0.17
6,3,20,1,16,0.42
6,3,30,1,16,0.56
6,7,5,1,16,0.13
6,7,10,1,16,0.27
6,7,20,1,16,0.37
6,7,30,1,16,0.39
6,14,5,1,16,0.17
6,14,10,1,16,0.20
6,14,20,1,16,0.23
6,14,30,1,16,0.26
6,21,5,1,16,0.17
6,21,10,1,16,0.17
6,21,20,1,16,0.17
6,21,30,1,16,0.17
2,1,5,1,17,0.55
2,1,10,1,17,0.85
2,1,20,1,17,0.97
2,1,30,1,17,1.00
2,3,5,1,17,0.60
2,3,10,1,17,0.85
2,3,20,1,17,0.95
2,3,30,1,17,0.97
2,7,5,1,17,0.60
2,7,10,1,17,0.80
2,7,20,1,17,0.88
2,7,30,1,17,0.87
2,14,5,1,17,0.60
2,14,10,1,17,0.65
2,14,20,1,17,0.72
2,14,30,1,17,0.75
2,21,5,1,17,0.50
2,21,10,1,17,0.50
2,21,20,1,17,0.50
2,21,30,1,17,0.50
4,1,5,1,17,0.12
4,1,10,1,17,0.21
4,1,20,1,17,0.55
4,1,30,1,17,0.76
4,3,5,1,17,0.20
4,3,10,1,17,0.36
4,3,20,1,17,0.69
