,strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
838,4,21,30,2,5,0.09
839,4,21,30,3,5,0.10
840,6,1,5,1,5,0.03
841,6,1,5,2,5,0.03
842,6,1,5,3,5,0.03
843,6,1,10,1,5,0.02
844,6,1,10,2,5,0.02
845,6,1,10,3,5,0.02
846,6,1,20,1,5,0.02
847,6,1,20,2,5,0.02
848,6,1,20,3,5,0.02
849,6,1,30,1,5,0.01
850,6,1,30,2,5,0.02
851,6,1,30,3,5,0.02
852,6,3,5,1,5,0.03
853,6,3,5,2,5,0.03
854,6,3,5,3,5,0.03
855,6,3,10,1,5,0.03
856,6,3,10,2,5,0.03
857,6,3,10,3,5,0.03
858,6,3,20,1,5,0.03
859,6,3,20,2,5,0.03
860,6,3,20,3,5,0.03
861,6,3,30,1,5,0.03
862,6,3,30,2,5,0.02
863,6,3,30,3,5,0.03
864,6,7,5,1,5,0.03
865,6,7,5,2,5,0.07
866,6,7,5,3,5,0.07
867,6,7,10,1,5,0.03
868,6,7,10,2,5,0.04
869,6,7,10,3,5,0.05
870,6,7,20,1,5,0.05
871,6,7,20,2,5,0.05
872,6,7,20,3,5,0.04
873,6,7,30,1,5,0.08
874,6,7,30,2,5,0.06
875,6,7,30,3,5,0.06
876,6,14,5,1,5,0.07
877,6,14,5,2,5,0.07
878,6,14,5,3,5,0.07
879,6,14,10,1,5,0.03
880,6,14,10,2,5,0.03
881,6,14,10,3,5,0.05
882,6,14,20,1,5,0.05
883,6,14,20,2,5,0.05
884,6,14,20,3,5,0.06
885,6,14,30,1,5,0.06
886,6,14,30,2,5,0.06
887,6,14,30,3,5,0.07
888,6,21,5,1,5,0.03
889,6,21,5,2,5,0.07
890,6,21,5,3,5,0.03
891,6,21,10,1,5,0.05
892,6,21,10,2,5,0.05
893,6,21,10,3,5,0.05
894,6,21,20,1,5,0.05
895,6,21,20,2,5,0.05
896,6,21,20,3,5,0.05
897,6,21,30,1,5,0.07
898,6,21,30,2,5,0.07
899,6,21,30,3,5,0.07
